hemi,tvertex,LRpairs,roiidx,NETWORK,LOBE,SHORTNAME,x,y,z
L,6111,1,1,3,frontal,DAF1L,-27,-4,52
R,6141,1,2,3,frontal,DAF1R,27,-6,51
L,19598,2,3,3,frontal,DAF2L,-49,4,31
R,19537,2,4,3,frontal,DAF2R,49,6,28
L,13828,3,5,3,parietal,DAP1L,-29,-72,31
R,13828,3,6,3,parietal,DAP1R,34,-68,34
L,14785,4,7,3,parietal,DAP2L,-24,-58,60
R,12052,4,8,3,parietal,DAP2R,18,-60,62
L,7417,5,9,3,parietal,DAP3L,-44,-34,42
R,7507,5,10,3,parietal,DAP3R,49,-30,44
L,23315,6,11,3,temporal,DAT1L,-47,-64,-2
R,23315,6,12,3,temporal,DAT1R,53,-58,-5
L,30442,7,13,7,frontal,DMF1L,-32,21,48
R,27830,7,14,7,frontal,DMF1R,16,40,46
L,28834,8,15,7,frontal,DMF2L,-6,58,21
R,28834,8,16,7,frontal,DMF2R,6,58,21
L,28175,9,17,7,frontal,DMF3L,-9,46,-4
R,28175,9,18,7,frontal,DMF3R,9,44,-5
L,13363,10,19,7,parietal,DMP1L,-11,-50,32
R,11809,10,20,7,parietal,DMP1R,7,-56,29
L,16429,11,21,7,parietal,DMP2L,-47,-60,30
R,16195,11,22,7,parietal,DMP2R,50,-59,26
L,9000,12,23,7,temporal,DMT1L,-58,-37,-3
R,9000,12,24,7,temporal,DMT1R,58,-31,-3
L,32170,13,25,7,temporal,DMT2L,-61,-10,-19
R,32221,13,26,7,temporal,DMT2R,61,-6,-17
L,2465,14,27,6,frontal,FPF1L,-6,24,41
R,2424,14,28,6,frontal,FPF1R,6,25,43
L,30321,15,29,6,frontal,FPF2L,-22,11,53
R,30321,15,30,6,frontal,FPF2R,24,11,53
L,30458,16,31,6,frontal,FPF3L,-43,23,33
R,30458,16,32,6,frontal,FPF3R,45,24,34
L,29627,17,33,6,frontal,FPF4L,-37,46,15
R,19783,17,34,6,frontal,FPF4R,36,54,6
L,10957,18,35,6,frontal,FPF5L,-33,19,-6
R,11073,18,36,6,frontal,FPF5R,31,24,-6
L,12812,19,37,6,parietal,FPP1L,-7,-71,44
R,12848,19,38,6,parietal,FPP1R,8,-70,46
L,6841,20,39,6,parietal,FPP2L,-48,-48,48
R,13895,20,40,6,parietal,FPP2R,40,-55,45
L,22055,21,41,6,temporal,FPT1L,-56,-50,-17
R,21912,21,42,6,temporal,FPT1R,59,-40,-15
L,2453,22,43,4,frontal,VAF1L,-9,9,37
R,2411,22,44,4,frontal,VAF1R,9,10,39
L,3469,23,45,4,frontal,VAF2L,-10,-1,69
R,3469,23,46,4,frontal,VAF2R,11,-1,70
L,5450,24,47,4,Frontal,VAF3L,-46,-3,50
R,30946,24,48,4,frontal,VAF3R,52,1,45
L,18804,25,49,4,frontal,VAF4L,-53,8,1
R,18804,25,50,4,frontal,VAF4R,55,9,3
L,29837,26,51,4,frontal,VAF5L,-30,40,29
R,29591,26,52,4,frontal,VAF5R,29,44,26
L,10782,27,53,4,insula,VAI1L,-37,9,-1
R,10782,27,54,4,insula,VAI1R,40,12,-2
L,4089,28,55,4,parietal,VAP1L,-15,-33,40
R,4130,28,56,4,parietal,VAP1R,14,-30,40
L,17169,29,57,4,parietal,VAP2L,-61,-30,26
R,9371,29,58,4,parietal,VAP2R,61,-35,32
L,15764,30,59,4,temporal,VAT1L,-53,-58,8
R,15844,30,60,4,temporal,VAT1R,56,-50,8
L,4632,31,61,5,frontal,SMF1L,-4,-16,56
R,4632,31,62,5,frontal,SMF1R,5,-15,56
L,7662,32,63,5,frontal,SMF2L,-26,-31,60
R,7662,32,64,5,frontal,SMF2R,26,-29,60
L,17981,33,65,5,frontal,SMF3L,-54,-12,33
R,17981,33,66,5,frontal,SMF3R,54,-9,33
L,10427,34,67,5,insula,SMI1L,-38,-14,11
R,10427,34,68,5,insula,SMI1R,40,-11,11
L,31742,35,69,5,temporal,SMT1L,-59,-15,5
R,31742,35,70,5,temporal,SMT1R,60,-9,3
L,15123,36,71,2,occipital,VI01L,-36,-84,6
R,15123,36,72,2,occipital,VI01R,41,-79,6
L,11965,37,73,2,occipital,VI02L,-16,-90,23
R,11965,37,74,2,occipital,VI02R,22,-87,24
L,25314,38,75,2,occipital,VI03L,-2,-85,10
R,25314,38,76,2,occipital,VI03R,5,-83,12
L,24579,39,77,2,occipital,VI04L,-11,-81,-10
R,24579,39,78,2,occipital,VI04R,13,-77,-8
L,24616,40,79,2,occipital/temporal,VI05L,-27,-62,-11
R,24616,40,80,2,occipital/temporal,VI05R,28,-57,-12
